date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:39	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Jan%202016%2008:14:39%20GMT	http://localhost:4000/robots.txt		(from )
13:44:40	11707/11707	---M--	200	added ('OK')	text/html	etag:%226473924464399153-11707-1453018479000%22	http://localhost:4000/	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/localhost_4000/index.html	(from )
13:44:41	116922/116922	---MCZ	200	added ('OK')	text/css	etag:W/%226f0b201b502f89fd447a824a9a2f6d67e965ab2e%22	http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/css/index.css	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/css/index.css	(from http://localhost:4000/)
13:44:43	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22ec53d4d6d5bf13db8ca757ea991a9c7839f23c89%22	http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/bower_components/fontawesome/css/font-awesome.min.css	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/bower_components/fontawesome/css/font-awesome.min.css	(from http://localhost:4000/)
13:44:43	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Jan%202016%2008:14:43%20GMT	http://localhost:4000/index.pdf	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/localhost_4000/index.pdf	(from http://localhost:4000/)
13:44:43	15219/15219	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2016%20Jun%202014%2006:15:09%20GMT	http://cdnjs.cloudflare.com/ajax/libs/require.js/2.1.14/require.min.js	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/cdnjs.cloudflare.com/ajax/libs/require.js/2.1.14/require.min.js	(from http://localhost:4000/)
13:44:44	252/252	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Jan%202016%2013:44:44%20GMT	http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/bg.png	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/bg.png	(from http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/css/index.css)
13:44:46	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Jan%202016%2013:44:46%20GMT	http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/list-style.png	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/list-style.png	(from http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/css/index.css)
13:44:47	1156/1156	---M--	200	added ('OK')	image/png	etag:%22d5efd17da9bcae0d5166e7b6d27e96e259202617%22	https://raw.githubusercontent.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/list-style.png	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/raw.githubusercontent.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/list-style.png	(from http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/css/index.css)
13:44:48	274/274	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2017%20Jan%202016%2013:44:48%20GMT	http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/list-style-on.png	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/list-style-on.png	(from http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/css/index.css)
13:44:48	218311/218311	---M--	200	added ('OK')	image/png	etag:%2264ca067fc13821f23a3b092e2662b58741475805%22	https://raw.githubusercontent.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/bg.png	C:/Users/Ujjwal%20Joshi/Desktop/Note/Resume/raw.githubusercontent.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/img/bg.png	(from http://rawgit.com/dbkaplun/jsonresume-theme-timeline-fixed/master/build/css/index.css)
